position,champion,teamname,gamelength,result,kills,deaths,assists,opponent_team
top,Gnar,Misa Esports,1686,1,3,1,3,Beşiktaş Esports
jng,Maokai,Misa Esports,1686,1,2,0,5,Beşiktaş Esports
mid,Hwei,Misa Esports,1686,1,3,1,5,Beşiktaş Esports
bot,Kalista,Misa Esports,1686,1,4,1,5,Beşiktaş Esports
sup,Renata Glasc,Misa Esports,1686,1,0,3,12,Beşiktaş Esports
top,Yasuo,Beşiktaş Esports,1686,0,2,1,0,Misa Esports
jng,Sejuani,Beşiktaş Esports,1686,0,0,2,4,Misa Esports
mid,Azir,Beşiktaş Esports,1686,0,1,3,2,Misa Esports
bot,Ezreal,Beşiktaş Esports,1686,0,2,3,0,Misa Esports
sup,Rakan,Beşiktaş Esports,1686,0,1,3,3,Misa Esports
team,,Misa Esports,1686,1,12,6,30,Beşiktaş Esports
team,,Beşiktaş Esports,1686,0,6,12,9,Misa Esports
top,K'Sante,WLGaming Esports,2664,1,4,3,8,Gamespace Mediterranean College Esports
jng,Viego,WLGaming Esports,2664,1,2,1,12,Gamespace Mediterranean College Esports
mid,Taliyah,WLGaming Esports,2664,1,3,1,11,Gamespace Mediterranean College Esports
bot,Varus,WLGaming Esports,2664,1,12,1,7,Gamespace Mediterranean College Esports
sup,Alistar,WLGaming Esports,2664,1,1,4,15,Gamespace Mediterranean College Esports
top,Gnar,Gamespace Mediterranean College Esports,2664,0,3,5,1,WLGaming Esports
jng,Vi,Gamespace Mediterranean College Esports,2664,0,2,7,4,WLGaming Esports
mid,Corki,Gamespace Mediterranean College Esports,2664,0,4,2,3,WLGaming Esports
bot,Ziggs,Gamespace Mediterranean College Esports,2664,0,1,3,4,WLGaming Esports
sup,Leona,Gamespace Mediterranean College Esports,2664,0,0,5,6,WLGaming Esports
team,,WLGaming Esports,2664,1,22,10,53,Gamespace Mediterranean College Esports
team,,Gamespace Mediterranean College Esports,2664,0,10,22,18,WLGaming Esports
top,Gragas,unknown team,2108,0,3,10,3,KIA.eSuba Academy
jng,Jarvan IV,unknown team,2108,0,1,6,17,KIA.eSuba Academy
mid,Yone,unknown team,2108,0,2,3,10,KIA.eSuba Academy
bot,Kalista,unknown team,2108,0,10,1,5,KIA.eSuba Academy
sup,Neeko,unknown team,2108,0,3,7,11,KIA.eSuba Academy
top,K'Sante,KIA.eSuba Academy,2108,1,1,5,4,unknown team
jng,Viego,KIA.eSuba Academy,2108,1,7,2,12,unknown team
mid,Ahri,KIA.eSuba Academy,2108,1,5,4,7,unknown team
bot,Ashe,KIA.eSuba Academy,2108,1,10,3,10,unknown team
sup,Pyke,KIA.eSuba Academy,2108,1,4,5,14,unknown team
team,,unknown team,2108,0,19,27,46,KIA.eSuba Academy
team,,KIA.eSuba Academy,2108,1,27,19,47,unknown team
top,Poppy,Eternal Fire,1917,0,1,3,2,Papara SuperMassive
jng,Xin Zhao,Eternal Fire,1917,0,3,8,1,Papara SuperMassive
mid,Taliyah,Eternal Fire,1917,0,1,5,3,Papara SuperMassive
bot,Corki,Eternal Fire,1917,0,2,4,3,Papara SuperMassive
sup,Rell,Eternal Fire,1917,0,0,5,5,Papara SuperMassive
top,Ambessa,Papara SuperMassive,1917,1,5,0,4,Eternal Fire
jng,Sejuani,Papara SuperMassive,1917,1,1,1,21,Eternal Fire
mid,Viktor,Papara SuperMassive,1917,1,9,1,11,Eternal Fire
bot,Miss Fortune,Papara SuperMassive,1917,1,9,2,8,Eternal Fire
sup,Rakan,Papara SuperMassive,1917,1,1,3,20,Eternal Fire
team,,Eternal Fire,1917,0,7,25,14,Papara SuperMassive
team,,Papara SuperMassive,1917,1,25,7,64,Eternal Fire
top,Gnar,Team Insidious,1773,1,4,1,5,Team Paradox
jng,Sejuani,Team Insidious,1773,1,3,0,17,Team Paradox
mid,Aurora,Team Insidious,1773,1,6,0,10,Team Paradox
bot,Jinx,Team Insidious,1773,1,12,0,10,Team Paradox
sup,Rell,Team Insidious,1773,1,1,2,18,Team Paradox
top,Irelia,Team Paradox,1773,0,0,6,1,Team Insidious
jng,Wukong,Team Paradox,1773,0,0,7,1,Team Insidious
mid,Galio,Team Paradox,1773,0,0,5,2,Team Insidious
bot,Ezreal,Team Paradox,1773,0,3,0,0,Team Insidious
sup,Alistar,Team Paradox,1773,0,0,8,2,Team Insidious
team,,Team Insidious,1773,1,26,3,60,Team Paradox
team,,Team Paradox,1773,0,3,26,6,Team Insidious
top,K'Sante,ZETA,1477,0,0,4,3,UCAM Esports
jng,Vi,ZETA,1477,0,1,3,1,UCAM Esports
mid,Orianna,ZETA,1477,0,1,4,1,UCAM Esports
bot,Corki,ZETA,1477,0,2,5,0,UCAM Esports
sup,Leona,ZETA,1477,0,0,6,1,UCAM Esports
top,Gnar,UCAM Esports,1477,1,4,1,6,ZETA
jng,Nidalee,UCAM Esports,1477,1,8,0,11,ZETA
mid,Azir,UCAM Esports,1477,1,4,1,10,ZETA
bot,Varus,UCAM Esports,1477,1,5,2,9,ZETA
sup,Rell,UCAM Esports,1477,1,1,0,18,ZETA
team,,ZETA,1477,0,4,22,6,UCAM Esports
team,,UCAM Esports,1477,1,22,4,54,ZETA
top,Sion,Solary,2448,1,2,2,18,Ici Japon Corp. Esport
jng,Vi,Solary,2448,1,4,2,14,Ici Japon Corp. Esport
mid,Aurora,Solary,2448,1,6,4,12,Ici Japon Corp. Esport
bot,Varus,Solary,2448,1,14,3,6,Ici Japon Corp. Esport
sup,Nautilus,Solary,2448,1,0,5,22,Ici Japon Corp. Esport
top,Jayce,Ici Japon Corp. Esport,2448,0,4,6,9,Solary
jng,Sejuani,Ici Japon Corp. Esport,2448,0,1,5,10,Solary
mid,Akali,Ici Japon Corp. Esport,2448,0,4,4,6,Solary
bot,Kalista,Ici Japon Corp. Esport,2448,0,7,5,6,Solary
sup,Alistar,Ici Japon Corp. Esport,2448,0,0,6,10,Solary
team,,Solary,2448,1,26,16,72,Ici Japon Corp. Esport
team,,Ici Japon Corp. Esport,2448,0,16,26,41,Solary
top,Gragas,unknown team,2072,1,2,11,13,KIA.eSuba Academy
jng,Xin Zhao,unknown team,2072,1,2,5,13,KIA.eSuba Academy
mid,Ahri,unknown team,2072,1,13,2,8,KIA.eSuba Academy
bot,Kalista,unknown team,2072,1,7,1,8,KIA.eSuba Academy
sup,Renata Glasc,unknown team,2072,1,0,5,16,KIA.eSuba Academy
top,K'Sante,KIA.eSuba Academy,2072,0,2,5,10,unknown team
jng,Viego,KIA.eSuba Academy,2072,0,2,4,10,unknown team
mid,Sylas,KIA.eSuba Academy,2072,0,4,5,11,unknown team
bot,Ashe,KIA.eSuba Academy,2072,0,13,6,5,unknown team
sup,Neeko,KIA.eSuba Academy,2072,0,1,4,12,unknown team
team,,unknown team,2072,1,24,24,58,KIA.eSuba Academy
team,,KIA.eSuba Academy,2072,0,22,24,48,unknown team
top,K'Sante,BBL Dark Passage,1867,1,3,2,5,BoostGate Esports
jng,Zyra,BBL Dark Passage,1867,1,5,3,13,BoostGate Esports
mid,Yone,BBL Dark Passage,1867,1,3,0,8,BoostGate Esports
bot,Varus,BBL Dark Passage,1867,1,8,2,7,BoostGate Esports
sup,Rell,BBL Dark Passage,1867,1,0,1,16,BoostGate Esports
top,Gwen,BoostGate Esports,1867,0,2,4,0,BBL Dark Passage
jng,Xin Zhao,BoostGate Esports,1867,0,2,2,4,BBL Dark Passage
mid,Aurora,BoostGate Esports,1867,0,2,5,0,BBL Dark Passage
bot,Corki,BoostGate Esports,1867,0,1,4,3,BBL Dark Passage
sup,Nautilus,BoostGate Esports,1867,0,1,4,4,BBL Dark Passage
team,,BBL Dark Passage,1867,1,19,8,49,BoostGate Esports
team,,BoostGate Esports,1867,0,8,19,11,BBL Dark Passage
top,Rumble,Verdant,2175,1,1,6,14,Rich Gang
jng,Xin Zhao,Verdant,2175,1,7,5,10,Rich Gang
mid,Orianna,Verdant,2175,1,6,2,13,Rich Gang
bot,Ezreal,Verdant,2175,1,8,0,8,Rich Gang
sup,Rell,Verdant,2175,1,0,4,15,Rich Gang
top,Jayce,Rich Gang,2175,0,2,6,10,Verdant
jng,Maokai,Rich Gang,2175,0,2,5,11,Verdant
mid,Galio,Rich Gang,2175,0,3,5,8,Verdant
bot,Varus,Rich Gang,2175,0,8,2,3,Verdant
sup,Alistar,Rich Gang,2175,0,2,4,9,Verdant
team,,Verdant,2175,1,22,17,60,Rich Gang
team,,Rich Gang,2175,0,17,22,41,Verdant
top,Maokai,Veni Vidi Vici,1608,1,1,1,4,Guasones
jng,Zyra,Veni Vidi Vici,1608,1,4,2,10,Guasones
mid,Corki,Veni Vidi Vici,1608,1,7,2,2,Guasones
bot,Ezreal,Veni Vidi Vici,1608,1,3,0,4,Guasones
sup,Nautilus,Veni Vidi Vici,1608,1,1,2,9,Guasones
top,K'Sante,Guasones,1608,0,2,2,2,Veni Vidi Vici
jng,Nidalee,Guasones,1608,0,1,2,4,Veni Vidi Vici
mid,Syndra,Guasones,1608,0,1,3,3,Veni Vidi Vici
bot,Miss Fortune,Guasones,1608,0,3,2,2,Veni Vidi Vici
sup,Rell,Guasones,1608,0,0,7,6,Veni Vidi Vici
team,,Veni Vidi Vici,1608,1,16,7,29,Guasones
team,,Guasones,1608,0,7,16,17,Veni Vidi Vici
top,Ornn,KIA.eSuba Academy,2168,1,0,2,7,unknown team
jng,Wukong,KIA.eSuba Academy,2168,1,4,5,8,unknown team
mid,Taliyah,KIA.eSuba Academy,2168,1,7,7,14,unknown team
bot,Varus,KIA.eSuba Academy,2168,1,12,4,8,unknown team
sup,Pyke,KIA.eSuba Academy,2168,1,2,2,13,unknown team
top,Ambessa,unknown team,2168,0,8,6,2,KIA.eSuba Academy
jng,Lillia,unknown team,2168,0,3,6,10,KIA.eSuba Academy
mid,Ahri,unknown team,2168,0,4,4,9,KIA.eSuba Academy
bot,Ezreal,unknown team,2168,0,4,4,7,KIA.eSuba Academy
sup,Maokai,unknown team,2168,0,1,5,10,KIA.eSuba Academy
team,,KIA.eSuba Academy,2168,1,25,20,50,unknown team
team,,unknown team,2168,0,20,25,38,KIA.eSuba Academy
top,Gnar,BK ROG Esports,1954,1,0,1,9,Galions
jng,Amumu,BK ROG Esports,1954,1,1,3,8,Galions
mid,Jayce,BK ROG Esports,1954,1,7,2,6,Galions
bot,Ezreal,BK ROG Esports,1954,1,7,2,6,Galions
sup,Nautilus,BK ROG Esports,1954,1,1,2,10,Galions
top,Malphite,Galions,1954,0,0,2,5,BK ROG Esports
jng,Zyra,Galions,1954,0,3,4,3,BK ROG Esports
mid,Corki,Galions,1954,0,3,3,4,BK ROG Esports
bot,Kai'Sa,Galions,1954,0,4,1,2,BK ROG Esports
sup,Leona,Galions,1954,0,0,6,5,BK ROG Esports
team,,BK ROG Esports,1954,1,16,10,39,Galions
team,,Galions,1954,0,10,16,19,BK ROG Esports
top,K'Sante,Verdant,2118,1,3,1,3,Rich Gang
jng,Zyra,Verdant,2118,1,2,0,10,Rich Gang
mid,Smolder,Verdant,2118,1,9,2,2,Rich Gang
bot,Kalista,Verdant,2118,1,6,1,9,Rich Gang
sup,Renata Glasc,Verdant,2118,1,0,3,15,Rich Gang
top,Gnar,Rich Gang,2118,0,2,5,2,Verdant
jng,Vi,Rich Gang,2118,0,1,7,3,Verdant
mid,Kog'Maw,Rich Gang,2118,0,2,2,0,Verdant
bot,Jinx,Rich Gang,2118,0,2,3,1,Verdant
sup,Lulu,Rich Gang,2118,0,0,3,3,Verdant
team,,Verdant,2118,1,20,7,39,Rich Gang
team,,Rich Gang,2118,0,7,20,9,Verdant
top,Ornn,Barça eSports,1419,0,1,6,6,GIANTX Pride
jng,Poppy,Barça eSports,1419,0,2,5,7,GIANTX Pride
mid,Viktor,Barça eSports,1419,0,3,8,4,GIANTX Pride
bot,Varus,Barça eSports,1419,0,4,8,0,GIANTX Pride
sup,Rell,Barça eSports,1419,0,0,6,8,GIANTX Pride
top,Jax,GIANTX Pride,1419,1,3,4,8,Barça eSports
jng,Vi,GIANTX Pride,1419,1,5,1,16,Barça eSports
mid,Syndra,GIANTX Pride,1419,1,9,2,9,Barça eSports
bot,Kalista,GIANTX Pride,1419,1,14,0,5,Barça eSports
sup,Nautilus,GIANTX Pride,1419,1,2,3,15,Barça eSports
team,,Barça eSports,1419,0,10,33,25,GIANTX Pride
team,,GIANTX Pride,1419,1,33,10,53,Barça eSports
top,Aurora,unknown team,2019,0,3,8,9,
jng,Wukong,unknown team,2019,0,5,7,4,
mid,Galio,unknown team,2019,0,3,4,8,
bot,Ezreal,unknown team,2019,0,4,3,9,
sup,Rell,unknown team,2019,0,0,7,14,
top,Camille,unknown team,2019,1,6,2,9,
jng,Rumble,unknown team,2019,1,6,4,9,
mid,Orianna,unknown team,2019,1,8,3,15,
bot,Miss Fortune,unknown team,2019,1,6,4,17,
sup,Leona,unknown team,2019,1,3,2,22,
team,,unknown team,2019,0,15,29,44,
team,,unknown team,2019,1,29,15,72,
top,Ambessa,Joblife,1711,0,0,5,3,Vitality.Bee
jng,Zyra,Joblife,1711,0,2,4,3,Vitality.Bee
mid,Jayce,Joblife,1711,0,0,4,3,Vitality.Bee
bot,Ezreal,Joblife,1711,0,6,1,3,Vitality.Bee
sup,Nautilus,Joblife,1711,0,1,4,6,Vitality.Bee
top,Irelia,Vitality.Bee,1711,1,6,3,4,Joblife
jng,Wukong,Vitality.Bee,1711,1,3,2,10,Joblife
mid,Yasuo,Vitality.Bee,1711,1,8,1,6,Joblife
bot,Seraphine,Vitality.Bee,1711,1,1,0,12,Joblife
sup,Senna,Vitality.Bee,1711,1,0,3,16,Joblife
team,,Joblife,1711,0,9,18,18,Vitality.Bee
team,,Vitality.Bee,1711,1,18,9,48,Joblife
top,K'Sante,Ramboot Club,1381,0,1,5,1,Los Heretics
jng,Maokai,Ramboot Club,1381,0,0,5,5,Los Heretics
mid,Syndra,Ramboot Club,1381,0,1,6,3,Los Heretics
bot,Ezreal,Ramboot Club,1381,0,3,3,2,Los Heretics
sup,Nautilus,Ramboot Club,1381,0,1,4,4,Los Heretics
top,Jayce,Los Heretics,1381,1,3,0,8,Ramboot Club
jng,Lillia,Los Heretics,1381,1,8,0,11,Ramboot Club
mid,Corki,Los Heretics,1381,1,7,1,9,Ramboot Club
bot,Miss Fortune,Los Heretics,1381,1,4,2,5,Ramboot Club
sup,Rell,Los Heretics,1381,1,1,3,15,Ramboot Club
team,,Ramboot Club,1381,0,6,23,15,Los Heretics
team,,Los Heretics,1381,1,23,6,48,Ramboot Club
top,Gnar,NORD Esports,1788,1,8,1,11,Venomcrest Esports
jng,Vi,NORD Esports,1788,1,5,2,16,Venomcrest Esports
mid,Xerath,NORD Esports,1788,1,8,4,10,Venomcrest Esports
bot,Corki,NORD Esports,1788,1,8,1,11,Venomcrest Esports
sup,Rell,NORD Esports,1788,1,3,2,21,Venomcrest Esports
top,Ornn,Venomcrest Esports,1788,0,0,6,6,NORD Esports
jng,Elise,Venomcrest Esports,1788,0,0,6,5,NORD Esports
mid,Hwei,Venomcrest Esports,1788,0,5,6,0,NORD Esports
bot,Ezreal,Venomcrest Esports,1788,0,2,3,4,NORD Esports
sup,Poppy,Venomcrest Esports,1788,0,3,11,7,NORD Esports
team,,NORD Esports,1788,1,32,10,69,Venomcrest Esports
team,,Venomcrest Esports,1788,0,10,32,22,NORD Esports
top,Jax,Movistar KOI Fénix,2388,1,1,3,7,LUA Gaming
jng,Sejuani,Movistar KOI Fénix,2388,1,3,1,18,LUA Gaming
mid,Azir,Movistar KOI Fénix,2388,1,10,5,9,LUA Gaming
bot,Varus,Movistar KOI Fénix,2388,1,11,4,11,LUA Gaming
sup,Nautilus,Movistar KOI Fénix,2388,1,1,7,16,LUA Gaming
top,K'Sante,LUA Gaming,2388,0,3,4,10,Movistar KOI Fénix
jng,Vi,LUA Gaming,2388,0,1,8,11,Movistar KOI Fénix
mid,Taliyah,LUA Gaming,2388,0,6,5,11,Movistar KOI Fénix
bot,Miss Fortune,LUA Gaming,2388,0,9,3,10,Movistar KOI Fénix
sup,Alistar,LUA Gaming,2388,0,1,6,15,Movistar KOI Fénix
team,,Movistar KOI Fénix,2388,1,26,20,61,LUA Gaming
team,,LUA Gaming,2388,0,20,26,57,Movistar KOI Fénix
top,Rumble,Karmine Corp Blue,2303,0,2,3,4,Gentle Mates
jng,Xin Zhao,Karmine Corp Blue,2303,0,1,6,5,Gentle Mates
mid,Azir,Karmine Corp Blue,2303,0,4,4,3,Gentle Mates
bot,Jinx,Karmine Corp Blue,2303,0,2,5,3,Gentle Mates
sup,Rell,Karmine Corp Blue,2303,0,2,5,9,Gentle Mates
top,Ambessa,Gentle Mates,2303,1,3,4,6,Karmine Corp Blue
jng,Sejuani,Gentle Mates,2303,1,2,2,12,Karmine Corp Blue
mid,Xerath,Gentle Mates,2303,1,5,0,10,Karmine Corp Blue
bot,Ezreal,Gentle Mates,2303,1,12,0,6,Karmine Corp Blue
sup,Nautilus,Gentle Mates,2303,1,1,5,10,Karmine Corp Blue
team,,Karmine Corp Blue,2303,0,11,23,24,Gentle Mates
team,,Gentle Mates,2303,1,23,11,44,Karmine Corp Blue
top,Jayce,unknown team,2165,1,6,1,4,
jng,Wukong,unknown team,2165,1,1,2,13,
mid,Orianna,unknown team,2165,1,2,1,12,
bot,Kai'Sa,unknown team,2165,1,8,2,5,
sup,Rell,unknown team,2165,1,3,1,14,
top,Ornn,unknown team,2165,0,1,3,1,
jng,Zyra,unknown team,2165,0,0,5,3,
mid,Syndra,unknown team,2165,0,3,3,2,
bot,Miss Fortune,unknown team,2165,0,1,5,3,
sup,Leona,unknown team,2165,0,2,4,2,
team,,unknown team,2165,1,20,7,48,
team,,unknown team,2165,0,7,20,11,
top,Rumble,Venomcrest Esports,2036,0,5,2,2,NORD Esports
jng,Wukong,Venomcrest Esports,2036,0,2,3,7,NORD Esports
mid,Galio,Venomcrest Esports,2036,0,0,4,5,NORD Esports
bot,Jinx,Venomcrest Esports,2036,0,5,4,6,NORD Esports
sup,Nautilus,Venomcrest Esports,2036,0,1,10,11,NORD Esports
top,K'Sante,NORD Esports,2036,1,7,2,7,Venomcrest Esports
jng,Ivern,NORD Esports,2036,1,3,1,17,Venomcrest Esports
mid,Anivia,NORD Esports,2036,1,3,1,10,Venomcrest Esports
bot,Ashe,NORD Esports,2036,1,6,2,13,Venomcrest Esports
sup,Leona,NORD Esports,2036,1,4,7,18,Venomcrest Esports
team,,Venomcrest Esports,2036,0,13,23,31,NORD Esports
team,,NORD Esports,2036,1,23,13,65,Venomcrest Esports
top,Pantheon,unknown team,1705,0,2,7,2,
jng,Wukong,unknown team,1705,0,1,3,5,
mid,Orianna,unknown team,1705,0,2,4,3,
bot,Xayah,unknown team,1705,0,2,3,2,
sup,Milio,unknown team,1705,0,0,3,4,
top,Malphite,unknown team,1705,1,0,1,13,
jng,Lillia,unknown team,1705,1,8,1,6,
mid,Smolder,unknown team,1705,1,7,1,9,
bot,Ezreal,unknown team,1705,1,3,2,6,
sup,Poppy,unknown team,1705,1,2,2,9,
team,,unknown team,1705,0,7,20,16,
team,,unknown team,1705,1,20,7,43,
top,Rumble,DN Freecs,1704,1,5,0,7,KT Rolster
jng,Vi,DN Freecs,1704,1,2,0,13,KT Rolster
mid,Taliyah,DN Freecs,1704,1,4,1,6,KT Rolster
bot,Corki,DN Freecs,1704,1,5,0,8,KT Rolster
sup,Rakan,DN Freecs,1704,1,0,1,14,KT Rolster
top,Ambessa,KT Rolster,1704,0,0,3,0,DN Freecs
jng,Pantheon,KT Rolster,1704,0,0,5,2,DN Freecs
mid,Twisted Fate,KT Rolster,1704,0,1,1,0,DN Freecs
bot,Ashe,KT Rolster,1704,0,1,3,0,DN Freecs
sup,Renata Glasc,KT Rolster,1704,0,0,4,2,DN Freecs
team,,DN Freecs,1704,1,16,2,48,KT Rolster
team,,KT Rolster,1704,0,2,16,4,DN Freecs
top,Gragas,KT Rolster,1792,1,2,0,6,DN Freecs
jng,Nidalee,KT Rolster,1792,1,4,0,7,DN Freecs
mid,Yone,KT Rolster,1792,1,1,0,5,DN Freecs
bot,Kalista,KT Rolster,1792,1,7,2,4,DN Freecs
sup,Rell,KT Rolster,1792,1,1,1,14,DN Freecs
top,Jax,DN Freecs,1792,0,1,2,1,KT Rolster
jng,Lee Sin,DN Freecs,1792,0,0,4,2,KT Rolster
mid,Ahri,DN Freecs,1792,0,1,2,2,KT Rolster
bot,Miss Fortune,DN Freecs,1792,0,1,3,2,KT Rolster
sup,Leona,DN Freecs,1792,0,0,4,3,KT Rolster
team,,KT Rolster,1792,1,15,3,36,DN Freecs
team,,DN Freecs,1792,0,3,15,10,KT Rolster
top,Maokai,unknown team,1740,0,0,6,1,
jng,Wukong,unknown team,1740,0,0,6,2,
mid,Katarina,unknown team,1740,0,1,3,1,
bot,Kai'Sa,unknown team,1740,0,5,5,1,
sup,Braum,unknown team,1740,0,0,3,3,
top,Rumble,unknown team,1740,1,4,3,12,
jng,Sejuani,unknown team,1740,1,7,0,14,
mid,Yone,unknown team,1740,1,4,1,6,
bot,Ezreal,unknown team,1740,1,7,2,11,
sup,Leona,unknown team,1740,1,1,0,17,
team,,unknown team,1740,0,6,23,8,
team,,unknown team,1740,1,23,6,60,
top,K'Sante,DN Freecs,2342,0,2,5,1,KT Rolster
jng,Sejuani,DN Freecs,2342,0,0,3,1,KT Rolster
mid,Hwei,DN Freecs,2342,0,0,2,2,KT Rolster
bot,Caitlyn,DN Freecs,2342,0,1,1,0,KT Rolster
sup,Elise,DN Freecs,2342,0,0,5,1,KT Rolster
top,Jayce,KT Rolster,2342,1,3,0,9,DN Freecs
jng,Viego,KT Rolster,2342,1,5,1,7,DN Freecs
mid,Syndra,KT Rolster,2342,1,4,0,8,DN Freecs
bot,Jhin,KT Rolster,2342,1,4,1,9,DN Freecs
sup,Karma,KT Rolster,2342,1,0,2,15,DN Freecs
team,,DN Freecs,2342,0,3,16,5,KT Rolster
team,,KT Rolster,2342,1,16,4,48,DN Freecs
top,Renekton,unknown team,2182,1,1,4,15,
jng,Xin Zhao,unknown team,2182,1,5,3,13,
mid,Aurora,unknown team,2182,1,7,2,6,
bot,Ashe,unknown team,2182,1,8,2,10,
sup,Rell,unknown team,2182,1,1,4,16,
top,Jax,unknown team,2182,0,4,5,5,
jng,Wukong,unknown team,2182,0,1,6,10,
mid,Galio,unknown team,2182,0,3,6,8,
bot,Varus,unknown team,2182,0,5,1,5,
sup,Leona,unknown team,2182,0,2,4,12,
team,,unknown team,2182,1,22,15,60,
team,,unknown team,2182,0,15,22,40,
top,Ambessa,DRX,1785,0,3,6,2,Hanwha Life Esports
jng,Nidalee,DRX,1785,0,3,3,5,Hanwha Life Esports
mid,Corki,DRX,1785,0,1,5,8,Hanwha Life Esports
bot,Ashe,DRX,1785,0,1,5,5,Hanwha Life Esports
sup,Leona,DRX,1785,0,1,6,5,Hanwha Life Esports
top,Camille,Hanwha Life Esports,1785,1,6,1,7,DRX
jng,Sejuani,Hanwha Life Esports,1785,1,2,2,18,DRX
mid,Jayce,Hanwha Life Esports,1785,1,4,5,12,DRX
bot,Varus,Hanwha Life Esports,1785,1,10,1,7,DRX
sup,Poppy,Hanwha Life Esports,1785,1,3,0,19,DRX
team,,DRX,1785,0,9,25,25,Hanwha Life Esports
team,,Hanwha Life Esports,1785,1,25,9,63,DRX
top,Gragas,DRX,1939,0,1,4,3,Hanwha Life Esports
jng,Vi,DRX,1939,0,4,6,4,Hanwha Life Esports
mid,Aurora,DRX,1939,0,4,4,1,Hanwha Life Esports
bot,Caitlyn,DRX,1939,0,1,3,2,Hanwha Life Esports
sup,Neeko,DRX,1939,0,0,5,2,Hanwha Life Esports
top,Anivia,Hanwha Life Esports,1939,1,3,2,6,DRX
jng,Xin Zhao,Hanwha Life Esports,1939,1,3,1,7,DRX
mid,Galio,Hanwha Life Esports,1939,1,2,3,11,DRX
bot,Ezreal,Hanwha Life Esports,1939,1,12,1,6,DRX
sup,Elise,Hanwha Life Esports,1939,1,2,3,9,DRX
team,,DRX,1939,0,10,22,12,Hanwha Life Esports
team,,Hanwha Life Esports,1939,1,22,10,39,DRX
top,Vladimir,DetonatioN FocusMe Academy,1358,1,7,0,8,unknown team
jng,Wukong,DetonatioN FocusMe Academy,1358,1,3,0,9,unknown team
mid,Tryndamere,DetonatioN FocusMe Academy,1358,1,4,0,6,unknown team
bot,Miss Fortune,DetonatioN FocusMe Academy,1358,1,4,1,5,unknown team
sup,Rell,DetonatioN FocusMe Academy,1358,1,0,2,12,unknown team
top,K'Sante,unknown team,1358,0,3,3,0,DetonatioN FocusMe Academy
jng,Vi,unknown team,1358,0,0,4,3,DetonatioN FocusMe Academy
mid,Ahri,unknown team,1358,0,0,3,2,DetonatioN FocusMe Academy
bot,Ezreal,unknown team,1358,0,0,5,1,DetonatioN FocusMe Academy
sup,Maokai,unknown team,1358,0,0,3,2,DetonatioN FocusMe Academy
team,,DetonatioN FocusMe Academy,1358,1,18,3,40,unknown team
team,,unknown team,1358,0,3,18,8,DetonatioN FocusMe Academy
top,Sion,Team Phantasma,1680,1,2,1,16,Team Insidious
jng,Viego,Team Phantasma,1680,1,7,2,15,Team Insidious
mid,Viktor,Team Phantasma,1680,1,6,0,8,Team Insidious
bot,Varus,Team Phantasma,1680,1,10,2,14,Team Insidious
sup,Elise,Team Phantasma,1680,1,5,7,15,Team Insidious
top,Olaf,Team Insidious,1680,0,3,7,0,Team Phantasma
jng,Wukong,Team Insidious,1680,0,4,6,4,Team Phantasma
mid,Syndra,Team Insidious,1680,0,1,3,3,Team Phantasma
bot,Ezreal,Team Insidious,1680,0,2,3,4,Team Phantasma
sup,Leona,Team Insidious,1680,0,1,11,7,Team Phantasma
team,,Team Phantasma,1680,1,30,12,68,Team Insidious
team,,Team Insidious,1680,0,11,30,18,Team Phantasma
top,Ambessa,Papara SuperMassive,2225,1,5,2,10,Misa Esports
jng,Vi,Papara SuperMassive,2225,1,5,2,16,Misa Esports
mid,Orianna,Papara SuperMassive,2225,1,9,3,13,Misa Esports
bot,Varus,Papara SuperMassive,2225,1,11,2,11,Misa Esports
sup,Nautilus,Papara SuperMassive,2225,1,1,4,16,Misa Esports
top,Renekton,Misa Esports,2225,0,3,5,1,Papara SuperMassive
jng,Zyra,Misa Esports,2225,0,0,8,11,Papara SuperMassive
mid,Jayce,Misa Esports,2225,0,5,4,6,Papara SuperMassive
bot,Ezreal,Misa Esports,2225,0,5,7,5,Papara SuperMassive
sup,Leona,Misa Esports,2225,0,0,7,9,Papara SuperMassive
team,,Papara SuperMassive,2225,1,31,13,66,Misa Esports
team,,Misa Esports,2225,0,13,31,32,Papara SuperMassive
top,Gragas,Gamespace Mediterranean College Esports,1754,0,0,2,1,Team Paradox
jng,Wukong,Gamespace Mediterranean College Esports,1754,0,0,3,1,Team Paradox
mid,Viktor,Gamespace Mediterranean College Esports,1754,0,2,4,2,Team Paradox
bot,Varus,Gamespace Mediterranean College Esports,1754,0,3,4,2,Team Paradox
sup,Rakan,Gamespace Mediterranean College Esports,1754,0,0,2,4,Team Paradox
top,Fiora,Team Paradox,1754,1,7,1,2,Gamespace Mediterranean College Esports
jng,Sejuani,Team Paradox,1754,1,1,2,4,Gamespace Mediterranean College Esports
mid,Orianna,Team Paradox,1754,1,2,0,4,Gamespace Mediterranean College Esports
bot,Corki,Team Paradox,1754,1,3,1,6,Gamespace Mediterranean College Esports
sup,Rell,Team Paradox,1754,1,2,1,6,Gamespace Mediterranean College Esports
team,,Gamespace Mediterranean College Esports,1754,0,5,15,10,Team Paradox
team,,Team Paradox,1754,1,15,5,22,Gamespace Mediterranean College Esports
top,Renekton,Beşiktaş Esports,1784,0,4,3,2,BoostGate Esports
